county,cat_name,sales,bottles_sold,volume_sold,pack_size,bottle_vol
adair,brandie,28.08,3,0.6,24,200
adair,brandie,47.22,3,1.12,12,375
adair,brandie,98.64,12,9.0,12,750
adair,gin,81.0,4,3.0,12,750
adair,liqueur,15.0,2,1.5,12,750
adair,liqueur,26.62,2,1.0,12,500
adair,liqueur,44.3,1,1.2,5,1200
adair,liqueur,45.0,1,3.0,1,3000
adair,liqueur,58.68,6,2.25,24,375
adair,liqueur,63.0,6,2.25,12,375
adair,liqueur,86.04,12,4.5,24,375
adair,liqueur,88.6,2,2.4,5,1200
adair,liqueur,135.0,3,9.0,1,3000
adair,liqueur,138.0,6,10.5,6,1750
adair,liqueur,161.64,12,9.0,12,750
adair,liqueur,192.0,24,9.0,24,375
adair,liqueur,225.0,12,9.0,12,750
adair,others,20.52,4,3.0,12,750
adair,others,55.5,6,10.5,6,1750
adair,rum,24.78,2,1.5,12,750
adair,rum,36.0,6,4.5,12,750
adair,rum,45.0,6,2.25,24,375
adair,rum,49.86,6,3.0,12,500
adair,rum,54.36,4,3.0,12,750
adair,rum,70.56,6,10.5,6,1750
adair,rum,81.0,12,4.5,24,375
adair,rum,104.04,12,9.0,12,750
adair,rum,135.0,6,10.5,6,1750
adair,rum,180.0,24,9.0,24,375
adair,rum,207.96,12,21.0,6,1750
adair,rum,324.0,12,21.0,6,1750
adair,rum,415.92,24,42.0,6,1750
adair,schnapp,38.84,4,3.0,12,750
adair,schnapp,72.0,12,9.0,12,750
adair,tequila,49.5,6,2.25,12,375
adair,tequila,60.0,4,3.0,12,750
adair,tequila,91.35,3,0.9,10,300
adair,vodka,20.4,12,2.4,48,200
adair,vodka,29.25,3,2.25,12,750
adair,vodka,30.36,6,4.5,12,750
adair,vodka,33.63,3,5.25,6,1750
adair,vodka,58.5,6,4.5,12,750
adair,vodka,60.72,12,9.0,12,750
adair,vodka,62.28,6,10.5,6,1750
adair,vodka,64.56,6,10.5,6,1750
adair,vodka,64.8,6,10.5,6,1750
adair,vodka,66.96,24,9.0,24,375
adair,vodka,68.4,6,10.5,6,1750
adair,vodka,74.28,6,4.5,12,750
adair,vodka,75.0,4,3.0,12,750
adair,vodka,81.0,6,2.25,12,375
adair,vodka,103.44,6,4.5,12,750
adair,vodka,117.0,6,10.5,6,1750
adair,vodka,117.0,12,9.0,12,750
adair,vodka,118.8,10,6.0,10,600
adair,vodka,129.6,12,21.0,6,1750
adair,vodka,148.56,12,9.0,12,750
adair,vodka,171.12,24,9.0,24,375
adair,vodka,206.88,12,9.0,12,750
adair,vodka,1710.0,60,105.0,6,1750
adair,whiskie,32.88,4,3.0,12,750
adair,whiskie,40.5,2,1.5,12,750
adair,whiskie,42.0,4,3.0,12,750
adair,whiskie,46.02,1,1.75,6,1750
adair,whiskie,46.78,2,1.5,12,750
adair,whiskie,48.6,6,3.0,12,500
adair,whiskie,62.98,2,1.5,12,750
adair,whiskie,66.18,6,1.8,10,300
adair,whiskie,70.17,3,2.25,12,750
adair,whiskie,72.0,6,2.25,24,375
adair,whiskie,73.92,24,9.0,24,375
adair,whiskie,83.16,6,10.5,6,1750
adair,whiskie,92.04,2,3.5,6,1750
adair,whiskie,93.56,4,3.0,12,750
adair,whiskie,94.08,6,10.5,6,1750
adair,whiskie,94.2,12,9.0,12,750
adair,whiskie,94.44,6,4.5,12,750
adair,whiskie,99.0,6,10.5,6,1750
adair,whiskie,99.24,12,9.0,12,750
adair,whiskie,107.64,6,10.5,6,1750
adair,whiskie,110.3,10,3.0,10,300
adair,whiskie,110.64,24,9.0,24,375
adair,whiskie,116.94,6,10.5,6,1750
adair,whiskie,140.16,6,4.5,12,750
adair,whiskie,140.34,6,4.5,12,750
adair,whiskie,162.84,6,4.5,6,750
adair,whiskie,166.32,12,21.0,6,1750
adair,whiskie,188.16,12,21.0,6,1750
adair,whiskie,221.28,48,18.0,24,375
adair,whiskie,269.88,12,9.0,12,750
adair,whiskie,280.32,12,9.0,12,750
adair,whiskie,280.68,12,9.0,12,750
adair,whiskie,282.24,18,31.5,6,1750
adair,whiskie,376.32,24,42.0,6,1750
adams,brandie,9.8,1,1.0,12,1000
adams,brandie,15.99,3,1.12,24,375
adams,brandie,16.94,1,1.75,6,1750
adams,brandie,18.88,2,1.5,12,750
adams,brandie,33.88,2,3.5,6,1750
adams,gin,16.49,1,0.75,12,750
adams,gin,19.13,1,0.75,12,750
adams,gin,31.48,2,3.5,6,1750
adams,liqueur,5.25,1,0.75,12,750
adams,liqueur,10.05,1,0.75,12,750
adams,liqueur,12.3,1,0.75,12,750
adams,liqueur,13.31,1,0.5,12,500
adams,liqueur,21.0,2,0.75,12,375
adams,liqueur,22.5,1,0.75,12,750
adams,liqueur,23.0,1,1.75,6,1750
adams,liqueur,30.0,1,0.75,6,750
adams,liqueur,31.0,2,1.5,12,750
adams,liqueur,33.06,2,1.5,12,750
adams,liqueur,40.5,3,2.25,12,750
adams,liqueur,46.0,2,3.5,6,1750
adams,liqueur,69.0,3,5.25,6,1750
adams,others,12.38,1,0.75,12,750
adams,others,16.5,2,1.5,12,750
adams,others,46.72,2,1.5,6,750
adams,others,52.44,4,7.0,6,1750
adams,rum,6.63,1,1.0,12,1000
adams,rum,15.0,2,0.75,24,375
adams,rum,27.0,1,1.75,6,1750
adams,rum,28.5,2,2.0,12,1000
adams,rum,52.89,3,3.0,12,1000
adams,rum,54.0,2,3.5,6,1750
adams,rum,81.0,3,5.25,6,1750
adams,schnapp,3.42,1,0.38,24,375
adams,schnapp,9.71,1,0.75,12,750
adams,schnapp,11.25,1,1.75,6,1750
adams,schnapp,12.99,1,0.75,12,750
adams,schnapp,23.63,1,1.0,12,1000
adams,tequila,11.51,1,1.0,12,1000
adams,tequila,13.44,1,0.38,12,375
adams,tequila,18.96,1,1.75,6,1750
adams,tequila,19.5,1,1.0,12,1000
adams,tequila,34.56,2,1.5,12,750
adams,tequila,36.52,2,1.5,12,750
adams,vodka,9.32,1,0.6,10,600
adams,vodka,11.98,2,0.4,24,200
adams,vodka,18.78,3,3.0,12,1000
adams,vodka,57.03,3,3.0,12,1000
adams,vodka,59.98,2,3.5,6,1750
adams,vodka,64.8,6,10.5,6,1750
adams,whiskie,8.1,1,0.5,12,500
adams,whiskie,10.2,1,0.6,10,600
adams,whiskie,13.36,2,0.75,24,375
adams,whiskie,13.59,1,0.5,12,500
adams,whiskie,13.86,1,1.75,6,1750
adams,whiskie,19.68,1,0.75,12,750
