"CTYNAME","Pop","GrowthRate"
"Polk County",487204,12.684278451852848
"Linn County",225909,6.713368635360922
"Scott County",173283,4.845892275857068
"Johnson County",151260,15.167619671232458
"Black Hawk County",132408,0.9476613425837712
"Woodbury County",102539,0.14747822010392042
"Story County",98105,9.426238650813133
"Dubuque County",96854,3.116249853609716
"Pottawattamie County",93533,0.17993894928505938
"Dallas County",90180,35.10517169053753
"Warren County",51056,10.174575429964833
"Clinton County",46518,-5.252866773937313
"Muscatine County",42929,0.4210624809937116
"Cerro Gordo County",42647,-3.286012336719878
"Marshall County",39981,-1.8196552232208631
"Des Moines County",39138,-2.740985561989021
"Jasper County",37147,0.90728818623856
"Webster County",36277,-4.241896315067052
"Wapello County",35205,-1.3368084748612716
"Sioux County",34909,3.4248807513406234
"Lee County",34055,-5.004323691037413
"Marion County",33407,0.5508066457982181
"Boone County",26346,0.2740351678465345
"Benton County",25642,-1.551101896644397
"Plymouth County",25095,0.48450388403939826
"Bremer County",24947,2.6836797694999035
"Washington County",22141,2.074593149232399
"Mahaska County",22000,-1.820778293466617
"Buchanan County",21199,1.0534846029173366
"Jones County",20744,0.2658417516554721
"Carroll County",20154,-3.2127935455986147
"Henry County",20067,-0.19397194867204348
"Winneshiek County",20029,-4.963226571767493
"Buena Vista County",19874,-2.363055760255463
"Fayette County",19660,-5.752636625119848
"Jackson County",19432,-1.9971757111155881
"Poweshiek County",18699,-1.1941875825627477
"Cedar County",18627,0.6647211413748408
"Jefferson County",18381,9.176764076977904
"Clayton County",17556,-2.9036004645760727
"Crawford County",17158,-0.069889341875367
"Dickinson County",17153,2.897420515896826
"Delaware County",17069,-3.906997691831336
"Tama County",16904,-4.599582369208193
"Hardin County",16868,-3.8476885367383034
"Madison County",16249,3.253479062082988
"Iowa County",16141,-1.187633914906641
"Clay County",16134,-3.0117222723173995
"Floyd County",15761,-3.3719575746428774
"Page County",15249,-4.214824120603012
"Mills County",15063,-0.08622976916953462
"Hamilton County",14952,-4.343931930138822
"Kossuth County",14908,-3.974235104669887
"Butler County",14539,-2.5601501239863325
"Harrison County",14134,-5.198202428063581
"O'Brien County",13840,-3.9422543031649013
"Allamakee County",13832,-3.8041588427567916
"Cass County",12930,-7.172087012707308
"Wright County",12690,-3.75426621160409
"Appanoose County",12437,-3.259178593652763
"Union County",12359,-1.2228260869565162
"Grundy County",12304,-1.2916165262735717
"Chickasaw County",11964,-3.593875906526989
"Lyon County",11811,2.1006224066390047
"Shelby County",11578,-4.895679316576306
"Cherokee County",11321,-6.507556363035761
"Louisa County",11169,-1.871375856615714
"Guthrie County",10720,-1.9840907012892046
"Hancock County",10712,-5.17836593785961
"Mitchell County",10569,-2.0663454410674547
"Winnebago County",10518,-3.0062707488011853
"Keokuk County",10225,-2.7024455228851423
"Franklin County",10124,-5.43620399775827
"Montgomery County",10003,-6.4265668849391915
"Sac County",9719,-6.132895499323936
"Calhoun County",9699,-4.537401574803155
"Humboldt County",9547,-2.511998366179924
"Clarke County",9423,1.1051502145922711
"Emmet County",9253,-9.955235500194632
"Howard County",9187,-3.9820234113712445
"Davis County",9017,2.7578347578347575
"Greene County",8981,-4.069643238624224
"Palo Alto County",8929,-5.000531971486325
"Monona County",8679,-6.15268166089966
"Lucas County",8645,-2.84333558102945
"Decatur County",7890,-6.2834065803539545
"Monroe County",7790,-2.5884706765036896
"Worth County",7453,-1.7143610708162953
"Adair County",7063,-8.021877848678216
"Van Buren County",7020,-7.35119440411772
"Fremont County",6993,-5.932203389830505
"Ida County",6841,-3.1979623602660183
"Pocahontas County",6740,-7.531897379613113
"Wayne County",6401,-0.28041751051566166
"Taylor County",6191,-2.0721290730781448
"Osceola County",6040,-6.48707230221396
"Audubon County",5506,-9.7081010167268
"Ringgold County",4968,-2.835908468609432
"Adams County",3645,-9.395973154362423
