,beer avg,wine avg,spirits avg,ref avg,beer %,wine %,spirits %,ref %
Alberni-Clayoquot,4.049829925,11.65750453,30.31544763,4.563408028,0.696683725,0.15594012,0.070275796,0.077100359
Bulkley-Nechako,4.097589728,11.52564338,30.29999789,4.78625863,0.726634356,0.12121823,0.082269677,0.069877737
Capital,4.24451372,13.21709363,31.68352086,4.514217295,0.553137948,0.286722276,0.08671302,0.073426756
Cariboo,4.103796166,11.13225832,30.04044023,4.677337101,0.668828026,0.157272856,0.097536561,0.076362557
CentralCoast,4.135560592,10.85784095,29.53805317,4.394545755,0.718947528,0.097269281,0.072112623,0.111670568
CentralKootenay,4.189063384,11.98958646,30.64437492,4.675265528,0.674984179,0.177636426,0.074490696,0.072888699
CentralOkanagan,4.169589591,13.21855293,30.78696902,4.661727805,0.579070087,0.253556059,0.095307734,0.07206612
Columbia-Shuswap,4.127792091,11.93808625,30.38165286,4.66468019,0.681584735,0.167212533,0.081947641,0.06925509
ComoxValley,4.21396524,11.94764561,31.09096587,4.543233555,0.541201768,0.292298748,0.094265746,0.072233738
CowichanValley,4.075700233,11.1937484,30.06783747,4.481253976,0.624961671,0.208157509,0.080735158,0.086145663
EastKootenay,4.120704795,12.31994776,30.11197039,4.949811687,0.712577031,0.146952452,0.082520107,0.05795041
FraserValley,4.14692945,11.69198944,30.12502796,4.645607965,0.598736686,0.220408025,0.103067116,0.077788173
Fraser-FortGeorge,4.098979731,12.40420087,30.44044244,4.916826303,0.678769458,0.155359248,0.097721304,0.06814999
GreaterVancouver,4.309453769,14.5161727,32.19010453,4.606348194,0.59380961,0.258311408,0.089266292,0.05861269
Kitimat-Stikine,4.119628161,11.333247,30.20490919,4.733470673,0.66589965,0.168441701,0.090654128,0.07500452
KootenayBoundary,4.071012855,11.44926432,30.19936207,4.563723859,0.689694064,0.169080993,0.071341903,0.069883039
MountWaddington,4.072612112,10.84617475,30.16305292,4.341775622,0.674126299,0.127845342,0.070444516,0.127583843
Nanaimo,4.172626301,12.06175019,30.72457765,4.572653962,0.554085564,0.282588109,0.094080153,0.069246174
NorthOkanagan,4.15292138,12.58484614,30.70941326,4.61883948,0.595323323,0.230854132,0.096654099,0.077168446
NorthernRockies,4.193709353,12.4451516,30.08382133,5.254900764,0.717178424,0.102513851,0.114691482,0.065616243
Okanagan-Similkameen,4.119891373,11.72290574,30.11728833,4.582773694,0.644766621,0.192000354,0.08293357,0.080299454
PeaceRiver-Liard,4.152069422,11.4325402,30.30381015,5.061113033,0.724912703,0.109297368,0.095298623,0.070491307
PowellRiver,4.138781081,11.27682434,30.7849625,4.470304187,0.583330831,0.236412237,0.094441545,0.085815388
Skeena-QueenCharlotte,4.130155591,11.50658637,30.60847292,4.61000557,0.67462003,0.16113194,0.089190484,0.075057546
Squamish-Lillooet,4.237338149,16.06849832,32.36918972,4.497503615,0.687939472,0.173840309,0.061083997,0.077136221
Strathcona,4.155032849,11.36705065,30.45309953,4.550361564,0.607372035,0.216416893,0.097656496,0.078554576
SunshineCoast,4.212319754,12.6262115,30.77745337,4.473897431,0.598535382,0.249653959,0.082721324,0.069089336
Thompson-Nicola,4.124202987,12.24926825,30.44781175,4.667262181,0.665322792,0.166354007,0.087378276,0.080944926
