,male %,avg age,married %,beer avg,wine avg,spirits avg,ref avg,beer %,wine %,spirits %,ref %
Alberni-Clayoquot,0.3877847625993229,0.634920634920635,0.24511903415493197,0.0,0.15535800666598704,0.2745874126064319,0.24271854514329047,0.8384823761398403,0.30083063806968197,0.1714648430158587,0.2750108414157896
Bulkley-Nechako,0.5506495372392025,0.32804232804232786,0.8042318971953428,0.1839576914977036,0.13010848923710036,0.26913033212756865,0.4867711856301073,1.0,0.12279656694134326,0.3952000359651269,0.1712873613455191
Capital,0.022765800389551453,0.6190476190476188,0.05959358340774372,0.7498687023523136,0.45399693225059995,0.757811448550583,0.18884779869526352,0.06436937610987754,0.9714070284568844,0.4780866515189064,0.22225453109571658
Cariboo,0.45021934950262754,0.634920634920635,0.7728027060795575,0.20786319225748906,0.05478089707873091,0.1774506637625798,0.3674868466166932,0.6882622918469977,0.30766414902831063,0.679990191668197,0.26441532761999537
CentralCoast,0.634780858139004,0.36507936507936506,0.2593678608155469,0.33021106874913986,0.002233909837953705,0.0,0.05779069108142042,0.958546509635081,0.0,0.20572921859699259,0.7714707674975614
CentralKootenay,0.29475473481859216,0.7566137566137565,0.5923768641396088,0.5362891822832717,0.21894692940292101,0.3907694773676668,0.36521818386203175,0.721461165175563,0.412076935020286,0.2500900573865757,0.21452753880452802
CentralOkanagan,0.0917007668348229,0.5873015873015874,0.49643035292483867,0.4612814607274677,0.4542763672531306,0.4411358576116717,0.35039247993896555,0.2042160949616909,0.801349562217693,0.6384134043967928,0.20271454948946718
Columbia-Shuswap,0.3264761729408269,0.7936507936507937,0.8978263179376739,0.30028892877805097,0.20908537844582464,0.29797209534100283,0.3536257552746264,0.7570566129401166,0.3586291501273497,0.3891927405286781,0.16234557902667252
ComoxValley,0.0736188583340096,0.8042328042328041,0.6666833261067192,0.6322043171042495,0.21091585866633708,0.5485121160969789,0.22062466986589627,0.0,1.0,0.6189760441102581,0.20512169779134676
CowichanValley,0.15806858079699357,0.7460317460317462,0.7055346932152915,0.09964534690426971,0.06655536474159932,0.18712778089068127,0.15274834476083293,0.45170001618054345,0.568571661019819,0.3665749475096622,0.4049097076687288
EastKootenay,0.37287607555574853,0.6031746031746031,1.0,0.27299060405253034,0.2822063761935763,0.2027161918417529,0.6658847041143019,0.924191722978056,0.25474699677049306,0.39987158509674525,0.0
Fraser-FortGeorge,0.44925774629581217,0.33862433862433855,0.342804515721616,0.18931160267390523,0.298339637350353,0.3187374589897476,0.6297610859125813,0.7418744001998184,0.2978522573719591,0.6834364081806862,0.1464753288840433
FraserValley,0.29531482663536474,0.34391534391534395,0.538537786464859,0.3740007986323473,0.16196137191859233,0.2073283219066206,0.3327389960312801,0.31027403877898746,0.6313853280437873,0.7831577810449418,0.28488848165794156
GreaterVancouver,0.17068262838540835,0.37566137566137575,0.16466010338177497,1.0,0.7027519265720257,0.9367444180677184,0.289744044743431,0.2837033261920501,0.8257322828042186,0.525715671981254,0.009510948569776839
Kitimat-Stikine,0.5405143567750491,0.38095238095238076,0.36884254880072026,0.26884370450966916,0.09326734421398569,0.23554357348111568,0.428960974770751,0.6724701593443759,0.3649316233838655,0.5516045194061989,0.2449126700388304
KootenayBoundary,0.2141201415734878,0.8730158730158731,0.7656561638268757,0.08159084956773135,0.11548299562755737,0.23358424728754185,0.2430644243502821,0.8007885647370686,0.36820954856016713,0.1913521218165709,0.17136350293112804
MountWaddington,0.707171502471643,0.4603174603174601,0.45328271377099727,0.08775074988874976,0.0,0.22075930954301623,0.0,0.7168347938928629,0.15677662186299263,0.17461216470050775,1.0
Nanaimo,0.0906439302947309,0.857142857142857,0.5704136188658075,0.4729780366398093,0.232765247826266,0.41909828757641493,0.25284413864052774,0.069479675276926,0.9502093752837871,0.6155139716030329,0.162217537084521
NorthOkanagan,0.07045079468432458,0.7460317460317462,0.5972439486227209,0.39708007327709227,0.3329306134893515,0.4137419970082334,0.30342375349905787,0.2918664706335224,0.6849470136735799,0.6635286471655966,0.2759886332187586
NorthernRockies,1.0,0.0,0.5844082635690839,0.5541841834835476,0.3061811143195789,0.19277352058486827,1.0,0.9490060937940432,0.02689116716911298,1.0,0.11008839676194056
Okanagan-Similkameen,0.0,1.0,0.6153766855589337,0.2698575251046652,0.1678813995816809,0.20459456821324978,0.2639266634057922,0.5585040586285733,0.4857269747858152,0.4075843699811696,0.32095278140315164
PeaceRiver-Liard,0.5763743771393485,0.06349206349206327,0.6540168176126415,0.39379856420275566,0.11228056671333347,0.27047687968282524,0.7877752762610936,0.9907154776915483,0.061673177828045884,0.6382434467873286,0.18009878961446585
PowellRiver,0.28527541123722505,0.925925925925926,0.5373931713406651,0.3426155110776352,0.08246321474101992,0.440427124576523,0.14075679125260573,0.22719341543138086,0.7134458097042329,0.6222554182498956,0.40016665557764486
Skeena-QueenCharlotte,0.48296049149545855,0.35978835978835966,0.0,0.3093924839969638,0.12645934537526202,0.37808835112527484,0.29374938402473677,0.7194973841383269,0.3274513332900612,0.5243015411000908,0.24567417206042394
Squamish-Lillooet,0.7273258393166407,0.1640211640211641,0.20179435278785077,0.7222303664835965,1.0,1.0,0.1705439767641403,0.7913264091422815,0.3926126096627234,0.0,0.27552585264609875
Strathcona,0.34443518028159237,0.6984126984126983,0.7070258304708297,0.4052128740532761,0.09974025795571301,0.32320813349677463,0.228430838672494,0.35684270879075514,0.610921076864759,0.6822274725255251,0.2958947320606755
SunshineCoast,0.046960792030801383,0.978835978835979,0.7182690456809321,0.6258663553259771,0.340851486151786,0.4377747869490783,0.144691897006161,0.3091884475020111,0.7813418164138242,0.4036251094413401,0.15996519947537272
Thompson-Nicola,0.2717284031121191,0.5767195767195767,0.44068088565223623,0.2864646823425057,0.26867226459504895,0.3213404100907808,0.3564533972715867,0.6693592821990925,0.3542271178949589,0.4904964110888618,0.330222351668343
